"Timestamp";"Age";"Area";"Men";"Women"
"2024M01";"0-4 years";"All Denmark";157540;149098
"2024M01";"0-4 years";"Region Hovedstaden";53762;50795
"2024M01";"0-4 years";"Copenhagen";19317;18412
"2024M01";"0-4 years";"Frederiksberg";2893;2795
"2024M01";"0-4 years";"Drag�r";413;358
"2024M01";"0-4 years";"T�rnby";1261;1213
"2024M01";"0-4 years";"Albertslund";732;672
"2024M01";"0-4 years";"Ballerup";1504;1377
"2024M01";"0-4 years";"Br�ndby";1229;1122
"2024M01";"0-4 years";"Gentofte";1859;1770
"2024M01";"0-4 years";"Gladsaxe";2144;2045
"2024M01";"0-4 years";"Glostrup";729;639
"2024M01";"0-4 years";"Herlev";792;793
"2024M01";"0-4 years";"Hvidovre";1608;1451
"2024M01";"0-4 years";"H�je-Taastrup";1872;1676
"2024M01";"0-4 years";"Ish�j";670;682
"2024M01";"0-4 years";"Lyngby-Taarb�k";1507;1342
"2024M01";"0-4 years";"R�dovre";1318;1267
"2024M01";"0-4 years";"Vallensb�k";607;558
"2024M01";"0-4 years";"Aller�d";724;741
"2024M01";"0-4 years";"Egedal";1478;1399
"2024M01";"0-4 years";"Fredensborg";1151;1078
"2024M01";"0-4 years";"Frederikssund";1065;993
"2024M01";"0-4 years";"Fures�";1327;1175
"2024M01";"0-4 years";"Gribskov";904;824
"2024M01";"0-4 years";"Halsn�s";668;618
"2024M01";"0-4 years";"Helsing�r";1516;1521
"2024M01";"0-4 years";"Hiller�d";1450;1501
"2024M01";"0-4 years";"H�rsholm";579;538
"2024M01";"0-4 years";"Rudersdal";1603;1464
"2024M01";"0-4 years";"Bornholm";842;769
"2024M01";"0-4 years";"Christians�";0;2
"2024M01";"0-4 years";"Region Sj�lland";20380;19285
"2024M01";"0-4 years";"Greve";1493;1394
"2024M01";"0-4 years";"K�ge";1728;1681
"2024M01";"0-4 years";"Lejre";816;796
"2024M01";"0-4 years";"Roskilde";2283;2155
"2024M01";"0-4 years";"Solr�d";806;694
"2024M01";"0-4 years";"Faxe";874;799
"2024M01";"0-4 years";"Guldborgsund";1243;1172
"2024M01";"0-4 years";"Holb�k";1877;1728
"2024M01";"0-4 years";"Kalundborg";1008;952
"2024M01";"0-4 years";"Lolland";682;694
"2024M01";"0-4 years";"N�stved";2045;1849
"2024M01";"0-4 years";"Odsherred";517;538
"2024M01";"0-4 years";"Ringsted";964;879
"2024M01";"0-4 years";"Slagelse";1929;1846
"2024M01";"0-4 years";"Sor�";740;776
"2024M01";"0-4 years";"Stevns";546;529
"2024M01";"0-4 years";"Vordingborg";829;803
"2024M01";"0-4 years";"Region Syddanmark";31010;29479
"2024M01";"0-4 years";"Assens";950;874
"2024M01";"0-4 years";"Faaborg-Midtfyn";1268;1190
"2024M01";"0-4 years";"Kerteminde";569;535
"2024M01";"0-4 years";"Langeland";172;171
"2024M01";"0-4 years";"Middelfart";1027;955
"2024M01";"0-4 years";"Nordfyns";694;629
"2024M01";"0-4 years";"Nyborg";718;675
"2024M01";"0-4 years";"Odense";5469;5270
"2024M01";"0-4 years";"Svendborg";1416;1441
"2024M01";"0-4 years";"�r�";75;92
"2024M01";"0-4 years";"Billund";708;637
"2024M01";"0-4 years";"Esbjerg";2977;2844
"2024M01";"0-4 years";"Fan�";55;62
"2024M01";"0-4 years";"Fredericia";1289;1212
"2024M01";"0-4 years";"Haderslev";1284;1218
"2024M01";"0-4 years";"Kolding";2616;2438
"2024M01";"0-4 years";"S�nderborg";1643;1527
"2024M01";"0-4 years";"T�nder";788;817
