"Copenhagen";"Timestamp";"Age group";324666;334684
"Copenhagen";"2024M01";"0-4 years";19317;18412
"Copenhagen";"2024M01";"5-9 years";14796;14207
"Copenhagen";"2024M01";"10-14 years";14071;13483
"Copenhagen";"2024M01";"15-19 years";13791;13619
"Copenhagen";"2024M01";"20-24 years";29849;35783
"Copenhagen";"2024M01";"25-29 years";44318;48342
"Copenhagen";"2024M01";"30-34 years";38368;37732
"Copenhagen";"2024M01";"35-39 years";26721;25788
"Copenhagen";"2024M01";"40-44 years";21048;20303
"Copenhagen";"2024M01";"45-49 years";20441;19731
"Copenhagen";"2024M01";"50-54 years";18796;18013
"Copenhagen";"2024M01";"55-59 years";17897;16813
"Copenhagen";"2024M01";"60-64 years";13827;13497
"Copenhagen";"2024M01";"65-69 years";10444;10891
"Copenhagen";"2024M01";"70-74 years";8309;9624
"Copenhagen";"2024M01";"75-79 years";7026;8773
"Copenhagen";"2024M01";"80-84 years";3713;5228
"Copenhagen";"2024M01";"85-89 years";1408;2706
"Copenhagen";"2024M01";"90-94 years";421;1248
"Copenhagen";"2024M01";"95-99 years";95;419
"Copenhagen";"2024M01";"100-104 years";10;68
"Copenhagen";"2024M01";"105-109 years";0;4
"Copenhagen";"2024M01";"110 years +";0;0
